reference	Nr	PlantNaam	Licht	Vochtigheid	Plantdichtheid	Habitat	Kleur	Hooghte	bladhooghte	bloei	
1622880067-6619	846	Heuchera 'Happy Moon' PBR	zon   half schaduw             	fris                	aantal  : 7 tot 10 per m2	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  snijbloem	roze    	 40 cm  	    25 cm  	    25 cm  	  5- 6
1622881561-9729	847	Salvia uliginosa	zon              	fris vochtig             afdekken    	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               Aromatisch   vlinderplant nectar  bijenplant	blauw    	150 cm  	   100 cm  	   100 cm  	  7-11
1622880204-6970	848	Phyla nodiflora 'Summer Pearls'	zon              	droog fris             afdekken    	aantal  : 7 tot 10 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie               vlinderplant nectar                                                                                              New	lila    	 10 cm  	     5 cm  	     5 cm  	  6- 9
1622882155-10902	849	Gaura lindheimeri 'Cool Breeze'	zon              	droog             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Gemengde boord met droge bodem (GB1)     Open plaatsen met droge bodem (OP1)          extra informatie       Licht uitzaaiend         snijbloem	wit    	100 cm  	    60 cm  	    60 cm  	  7-10
1622881042-8733	850	Iris ensata 'Aquamarin'	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem	blauw    	100 cm  	    70 cm  	    70 cm  	  6- 7
1622879525-5456	851	Coreopsis (x) 'Johannes'	zon              	fris                	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)          extra informatie               bijenplant	geel    	 70 cm  	    40 cm  	    40 cm  	  7- 9
1622881176-8927	852	Narcissus 'Jack Snipe'	zon              	droog fris                	DRIFT	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   snijbloem	geel    	 25 cm  	    15 cm  	    15 cm  	  2- 2
1622883195-12954	853	Nepeta subsessilis 'Laufen'	zon   half schaduw             	fris vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar	blauw    	 35 cm  	    25 cm  	    25 cm  	  6-10
1622882005-10653	854	Campanula sarmatica JS® 'Hemelstraling'	zon              	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Licht woekerend         snijbloem  bijenplant                                                                                                JS	lila    	100 cm  	    40 cm  	    40 cm  	  6- 7
1622882106-10835	855	Nepeta nervosa	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	blauw    	 40 cm  	    30 cm  	    30 cm  	  7- 9
1622881705-10061	856	Campanula lactiflora 'Alba'	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	wit    	 80 cm  	    60 cm  	    60 cm  	  6- 8
1622880324-7220	857	Campanula persicifolia 'Telham Beauty'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)          extra informatie       Licht woekerend         snijbloem  bijenplant	blauw    	 80 cm  	    40 cm  	    40 cm  	  6- 7
1622883208-12981	858	Dodecatheon meadia	zon   half schaduw             	fris vochtig                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)     Stenige, frisse bodem (ST2)          extra informatie	roze    	 30 cm  	    15 cm  	    15 cm  	  5- 6
1622881204-8966	859	Aster ageratoides 'Asran'	zon   half schaduw             	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Licht woekerend         bodembedekker  snijbloem  vlinderplant nectar  bijenplant    macho	blauw    	 50 cm  	    30 cm  	    30 cm  	  9-10
1622882489-11506	860	Carex oshimensis EVEREST® (= 'Fiwhite' PBR)	half schaduw  schaduw             	fris                	aantal  : 7 tot 10 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  bodembedekker  macho	bruin    	 30 cm  	    20 cm  	    20 cm  	  5- 6
1622884582-16215	861	Hypericum androsaemum	zon   half schaduw             	droog fris                	aantal  : 5 tot 7 per m2  - groepen van 10 tot 24 stuks (C)  - grotere kolonies in lage beplanting (D)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)          extra informatie               bladhoudend  snijbloem	geel    	 80 cm  	    70 cm  	    70 cm  	  6- 8
1622883298-13242	862	Foeniculum vulgare  (VENKEL)	zon              	fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie       Uitzaaiend         Aromatisch   snijbloem  vlinderplant nectar  bijenplant	geel    	160 cm  	    70 cm  	    70 cm  	  6- 7
1622882462-11451	863	Echinacea purpurea 'Hope' PBR	zon              	droog fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  vlinderplant nectar  bijenplant                                                                                                New	roze    	 70 cm  	    50 cm  	    50 cm  	  7- 9
1622879604-5638	864	Filipendula purpurea 'Elegans'	zon   half schaduw             	vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met vochtige bodem (BR3)     moeraszone (O4)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               Aromatisch   snijbloem  bijenplant	roze    	 80 cm  	    50 cm  	    50 cm  	  6- 8
1622880388-7397	865	Aquilegia alpina	zon   half schaduw             	fris vochtig                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Uitzaaiend         snijbloem  bijenplant	blauw    	 50 cm  	    20 cm  	    20 cm  	  5- 6
1622881306-9219	866	Aster amellus 'Brilliant'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 50 cm  	    30 cm  	    30 cm  	  8- 9
1622880395-7412	867	Allium fistulosum (BIESLOOK GROF)	zon              	droog                	aantal  : 7 tot 10 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met droge bodem (OP1)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	wit    	 90 cm  	    80 cm  	    80 cm  	  5- 6
1622882776-12011	868	Helianthus salicifolius var. orgyalis	zon              	droog fris                	aantal  : 1 tot 3 per m2  - alleen of in kleine toefen (A)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)          extra informatie       Licht woekerend         snijbloem  bijenplant	geel    	250 cm  	   200 cm  	   200 cm  	  8-10
1622881241-9060	869	Anemone canadensis	zon   half schaduw             	fris vochtig                	aantal  : 7 tot 10 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Woekerend         bodembedekker  bijenplant    macho	wit    	 35 cm  	    20 cm  	    20 cm  	  6- 7
1622883106-12768	870	Astrantia 'Buckland'	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem  bijenplant	roze    	 50 cm  	    30 cm  	    30 cm  	  5-11
1622880085-6659	871	Salvia 'Lilac Lipstick'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant                                                                                                New	lila    	 45 cm  	    20 cm  	    20 cm  	  6- 7
1622880092-6675	872	Tulipa 'Parade'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	rood    	 60 cm  	    20 cm  	    20 cm  	  4- 4
1622884144-15121	873	Lewisia 'Little Snowberry'	zon              	fris             afdekken    	aantal  : 9 tot 15 per m2	Rotstuin met frisse bodem (A2)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend	wit    	 15 cm  	     5 cm  	     5 cm  	  6-10
1622883670-14061	874	Agapanthus 'Navy Blue' (Trumpet-Group)	zon              	fris             afdekken    	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)          extra informatie               snijbloem  bijenplant	blauw    	 80 cm  	    30 cm  	    30 cm  	  7- 9
1622880256-7075	875	Centaurea montana 'Carnea' ('Rosea')	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 50 cm  	    25 cm  	    25 cm  	  6- 8
1622880960-8575	876	Salvia sclarea var. turkestanica	zon              	droog                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Droge bodem met grind (GR1)     Open plaatsen met droge bodem (OP1)     Stenige, droge bodem (ST1)          extra informatie       Sterk uitzaaiend         bladhoudend  Aromatisch   vlinderplant nectar  bijenplant	lila    	100 cm  	    50 cm  	    50 cm  	  7- 8
1622881382-9338	877	Scabiosa ochroleuca	zon              	droog                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Open plaatsen met droge bodem (OP1)     Stenige, droge bodem (ST1)          extra informatie       Licht uitzaaiend         snijbloem  vlinderplant nectar  bijenplant	geel    	 70 cm  	    30 cm  	    30 cm  	  6-10
1622880324-7223	878	Caltha palustris	zon   half schaduw             	vochtig                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	moeraszone (O4)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bijenplant	geel    	 50 cm  	    30 cm  	    30 cm  	  4- 5
1622884505-16030	879	Sempervivum mix	zon              	droog                	15-25AC	Rotstuin met droge bodem (A1)     Muurbeplanting met droge bodem (M1)     Stenige, droge bodem (ST1)     Steenvoegen met droge bodem (SV1)          extra informatie               bladhoudend  bijenplant	roze    	 20 cm  	     5 cm  	     5 cm  	  7- 9
1622880184-6937	880	Tulipa 'Mount Tacoma'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	wit    	 45 cm  	    25 cm  	    25 cm  	  4- 5
1622884133-15078	881	Persicaria ampl. JS® 'Betty Brandt'	zon   half schaduw             	fris vochtig                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bodembedekker  snijbloem  macho                                                                                            JS	roze    	 80 cm  	    60 cm  	    60 cm  	  7-11
1622882959-12372	882	Eryngium bourgatii 'Pen Blue'	zon              	droog fris                	aantal  : 7 tot 9 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               snijbloem  vlinderplant nectar	grijs    	 60 cm  	    30 cm  	    30 cm  	  7- 9
1622883988-14766	883	Ajuga tenorii 'Valfredda' (= 'Chocolate Chip')	zon   half schaduw             	fris vochtig                	aantal  : 9 tot 15 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               bladhoudend  bodembedekker  vlinderplant nectar  bijenplant	blauw    	 10 cm  	     5 cm  	     5 cm  	  5- 6
1622882621-11770	884	Centaurea montana 'Carnea' ('Rosea')	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 50 cm  	    25 cm  	    25 cm  	  6- 8
1622879543-5491	885	Actaea racemosa	half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant	wit    	140 cm  	    60 cm  	    60 cm  	  9-10
1622883142-12855	886	Tulipa 'Shirley'	zon              	droog fris                	DRIFT	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant	lila    	 45 cm  	    20 cm  	    20 cm  	  5- 5
1622881065-8766	887	Chasmantium latifolium	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie               snijbloem	bruin    	 80 cm  	    30 cm  	    30 cm  	  8- 9
1622883474-13680	888	Geum 'Totally Tangerine' PBR	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bladhoudend	oranje    	 60 cm  	    30 cm  	    30 cm  	  4- 8
1622883569-13888	889	Coreopsis tripteris JS® 'Mostenveld'	zon              	fris                	aantal  : 5 tot 7 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  bijenplant                                                                                                JS	geel    	150 cm  	   125 cm  	   125 cm  	  7- 9
1622884684-16427	890	Iris 'Pink Empress(Germanica-Group)	zon              	droog fris                	aantal  : 7 tot 10 per m2	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem	roze    	 80 cm  	    40 cm  	    40 cm  	  5- 6
1622881165-8911	891	Symphytum officinale	zon   half schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - groepen van 10 tot 24 stuks (C)  - werkelijk zeer grote vlakken (E)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met vochtige bodem (OP3)          extra informatie       Licht uitzaaiend         bijenplant	paars    	 80 cm  	    60 cm  	    60 cm  	  5- 7
1622883302-13255	892	Uncinia rubra	zon              	fris             afdekken    	aantal  : 8 tot 12 per m2	Open plaatsen met frisse bodem (OP2)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend	rood    	 30 cm  	    20 cm  	    20 cm  	  5- 6
1622884144-15124	893	Pennisetum orientale 'JS Dance With Me' PBR	zon              	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - werkelijk zeer grote vlakken (E)	Droge bodem met grind (GR1)     Frisse bodem met grind (GR2)     Open plaatsen met droge bodem (OP1)     Open plaatsen met frisse bodem (OP2)     Stenige, droge bodem (ST1)     Stenige, frisse bodem (ST2)          extra informatie               bodembedekker  snijbloem                                                                                              JS	bruin    	 45 cm  	    30 cm  	    30 cm  	  7-11
1622882227-11045	894	Galium odoratum	half schaduw  schaduw             	fris                	aantal  : 8 tot 12 per m2  - grotere kolonies in lage beplanting (D)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  bodembedekker  Aromatisch   bijenplant	wit    	 15 cm  	    10 cm  	    10 cm  	  5- 6
1622882749-11962	895	Acanthus 'Hollande du Nord'	zon              	fris             afdekken    	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Frisse bodem met grind (GR2)     Open plaatsen met frisse bodem (OP2)     Stenige, frisse bodem (ST2)          extra informatie               bladhoudend  snijbloem	roze    	150 cm  	    40 cm  	    40 cm  	  6- 9
1622884031-14871	896	Aster frikartii (x) 'Mönch'	zon              	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	 70 cm  	    50 cm  	    50 cm  	  7- 9
1622882351-11213	897	Coreopsis verticillata BLOOMSATION CHAMELEON	zon              	fris vochtig             afdekken    	aantal  : 7 tot 10 per m2	Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Stenige, frisse bodem (ST2)     Stenige, vochtige bodem (ST3)          extra informatie               snijbloem  bijenplant	roze    	 40 cm  	    15 cm  	    15 cm  	  6- 9
1622883857-14479	898	Helleborus sternii (x)	zon   half schaduw             	fris                	aantal  : 3 tot 5 per m2	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend	groen    	 50 cm  	    40 cm  	    40 cm  	  2- 4
1622883476-13686	899	Papaver orientale 'Allegro'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bijenplant	rood    	 60 cm  	    30 cm  	    30 cm  	  5- 6
1622883053-12623	900	Geranium 'Magical All Summer Blue' PBR	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               bodembedekker	blauw    	 40 cm  	    25 cm  	    25 cm  	  6-11
1622882812-12071	901	Rudbeckia fulgida 'Little Goldstar' PBR	zon              	fris vochtig                	aantal  : 6 tot 9 per m2  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)     Gemengde boord met frisse bodem (GB2)     Gemengde boord met vochtige bodem (GB3)     Open plaatsen met frisse bodem (OP2B)     Open plaatsen met vochtige bodem (OP3B)          extra informatie               snijbloem  bijenplant	geel    	 35 cm  	    15 cm  	    15 cm  	  7-10
1622881593-9815	902	Pycnanthemum pilosum JS® 'Bees' Friend'	zon              	droog fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met droge bodem (BR1)     Bosrand met frisse bodem (BR2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar                                                                                              JS	wit    	 70 cm  	    40 cm  	    40 cm  	  7- 9
1622883237-13071	903	Dryopteris cycadina (=atrata)	half schaduw  schaduw             	fris vochtig                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bos en onder bomen met frisse bodem (B2)     Bos en onder bomen  met vochtige bodem (B3)     Bosrand met frisse bodem (BR2)     Bosrand met vochtige bodem (BR3)          extra informatie               bladhoudend	groen    	 60 cm  	    60 cm  	    60 cm  	  0- 0
1622881535-9670	904	Nepeta govaniana	zon   half schaduw             	fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               Aromatisch   snijbloem  vlinderplant nectar  bijenplant    macho                                                                                            New	geel    	 90 cm  	    70 cm  	    70 cm  	  6- 8
1622880072-6633	905	Aster amellus 'Silbersee'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	violet    	 50 cm  	    30 cm  	    30 cm  	  8- 9
1622883863-14493	906	Eragrostis trichodes 'Bend'	zon              	droog fris                	aantal  : 3 tot 5 per m2  - alleen of in kleine toefen (A)  - in kleine groepjes van 3 tot 10 stuks (B)	Open plaatsen met droge bodem (OP1)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem	bruin    	 60 cm  	    40 cm  	    40 cm  	  8-10
1622881840-10356	907	Thalictrum delavayi 'Hinckley'	zon   half schaduw             	fris                	aantal  : 5 tot 7 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Gemengde boord met frisse bodem (GB2)          extra informatie               snijbloem  bijenplant	lila    	150 cm  	   100 cm  	   100 cm  	  7- 9
1622879814-6074	908	Chelonopsis moschata	zon   half schaduw             	fris             afdekken    	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Bosrand met frisse bodem (BR2)     Open plaatsen met frisse bodem (OP2)          extra informatie	roze    	 50 cm  	    40 cm  	    40 cm  	  8-10
1622884214-15317	909	Pachysandra terminalis 'Variegata'	half schaduw             	fris                	aantal  : 8 tot 12 per m2  - werkelijk zeer grote vlakken (E)	Bos en onder bomen met frisse bodem (B2)     Bosrand met frisse bodem (BR2)          extra informatie               bladhoudend  bodembedekker	wit    	 20 cm  	    15 cm  	    15 cm  	  4- 5
1622884661-16398	910	Echinacea purpurea 'Baby Swan Pink'	zon              	fris                	aantal  : 8 tot 12 per m2  - in kleine groepjes van 3 tot 10 stuks (B)	Gemengde boord met frisse bodem (GB2)     Open plaatsen met frisse bodem (OP2)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	roze    	 50 cm  	    25 cm  	    25 cm  	  7- 9
1622883246-13105	911	Aster amellus 'Rudolf Goethe'	zon              	droog fris                	aantal  : 6 tot 9 per m2  - in kleine groepjes van 3 tot 10 stuks (B)  - groepen van 10 tot 24 stuks (C)	Gemengde boord met droge bodem (GB1)     Gemengde boord met frisse bodem (GB2)     Open plaatsen met droge bodem (OP1B)     Open plaatsen met frisse bodem (OP2B)          extra informatie               snijbloem  vlinderplant nectar  bijenplant	blauw    	 60 cm  	    40 cm  	    40 cm  	  8-10
